id	text	category	image_url	source
ameno_0	(⊃･ᴥ･)つ	donger		Donger List
ameno_1	༼つ ◕_◕ ༽つ	donger		Donger List
ameno_2	(⊹つ•۝•⊹)つ	donger		Donger List
ameno_3	(つ☯ᗜ☯)つ	donger		Donger List
ameno_4	(っ-̶●̃益●̶̃)っ	donger		Donger List
ameno_5	(つ°ヮ°)つ	donger		Donger List
ameno_6	(つ◉益◉)つ	donger		Donger List
ameno_7	(> ^_^ )>	donger		Donger List
ameno_8	༼つಠ益ಠ༽つ ─=≡ΣO))	donger		Donger List
ameno_9	(⊃✖  〰 ✖)⊃	donger		Donger List
ameno_10	(つಠ_ʖಠ)つ	donger		Donger List
ameno_11	༼ つ ˵ ╥ ͟ʖ ╥ ˵༽つ	donger		Donger List
ameno_12	༼つ◔益◔༽つ	donger		Donger List
ameno_13	(つ ¯͒ ʖ̯  ¯͒ )つ	donger		Donger List
ameno_14	༼ つ ಠ₍₍ළ₎₎ಠ༽つ	donger		Donger List
ameno_15	(つ▀¯▀)つ	donger		Donger List
ameno_16	(つ ͡° ͜ʖ ͡°)つ	donger		Donger List
ameno_17	(⊃ • ʖ̫ • )⊃	donger		Donger List
ameno_18	༽つ۞﹏۞༼つ	donger		Donger List
ameno_19	⁞ つ: •̀ ⌂ •́ : ⁞つ	donger		Donger List
ameno_20	( ੭눈 _ 눈 )੭	donger		Donger List
ameno_21	╏つ” ⊡ 〜 ⊡ ” ╏つ	donger		Donger List
ameno_22	ʕ ⊃･ ◡ ･ ʔ⊃	donger		Donger List
ameno_23	c(ˊᗜˋ*c)	donger		Donger List
ameno_24	༼⊃ •́ ヮ •̀ ༽⊃	donger		Donger List
ameno_25	(⊃｡•́‿•̀｡)⊃	donger		Donger List
ameno_26	༼つ . •́ _ʖ •̀ . ༽つ	donger		Donger List
ameno_27	༼つ ் ▽ ் ༽つ	donger		Donger List
ameno_28	╏つ ͜ಠ ‸ ͜ಠ ╏つ	donger		Donger List
ameno_29	⊂(´･◡･⊂ )∘˚˳°	donger		Donger List
ameno_30	༼ つ ̥◕͙_̙◕͖ ͓༽つ	donger		Donger List
ameno_31	༼ つ ◕o◕ ༽つ	donger		Donger List
ameno_32	༼ つ ͡ ͡° ͜ ʖ ͡ ͡° ༽つ	donger		Donger List
ameno_33	(っಠ‿ಠ)っ	donger		Donger List
ameno_34	༼ つ ◕_◕ ༽つ	donger		Donger List
ameno_35	ʕっ•ᴥ•ʔっ	donger		Donger List
ameno_36	༼ つ ▀̿_▀̿ ༽つ	donger		Donger List
ameno_37	༼ﾉ ◉ ͜ ◉ ༽つ	donger		Donger List
ameno_38	( つ★ل͜ ★)つ	donger		Donger List
angry_0	ʕ ᓀ ᴥ ᓂ ʔ	donger		Donger List
angry_1	¯\_| ಠ ∧ ಠ |_/¯	donger		Donger List
angry_2	⋌༼ •̀ ⌂ •́ ༽⋋	donger		Donger List
angry_3	୧( ಠ Д ಠ )୨	donger		Donger List
angry_4	┌( ◕ 益 ◕ )ᓄ	donger		Donger List
angry_5	╚═| ~ ಠ ₒ ಠ ~ |═╝	donger		Donger List
angry_6	╭∩╮༼☯۝☯༽╭∩╮	donger		Donger List
angry_7	╰༼ ⋋ ‸ ⋌ ༽╯	donger		Donger List
