text	
24seven	
3G	
3T	
3rd Eye	
3rensho	
45North	
4ZA	
6KU	
9 zero 7	
A-Class	
A-bike	
A2B e-bikes	
ABI	
ACS	
AGang	
ALAN	
AMF	
AXA	
Aardvark	
Abici	
Abus	
Accelerade	
Accell	
Access	
Acros	
Acstar	
Adams (Trail a bike)	
Adolphe Clément	
Adventure Medical Kits	
Aegis	
Aerofix Cycles	
Affinity Cycles	
AheadSet	
Airborne	
Aist Bicycles	
Aladdin	
Alcyon	
Alex	
Alexander Leutner & Co.	
Alien Bikes	
Alienation	
Alite Designs	
All City	https://files.bikeindex.org/uploads/Ma/371/all-city.png
Alldays & Onions	
Alliance	
Alton	
American Bicycle Company	
American Classic	
American Machine and Foundry	
American Star Bicycle	
Amoeba	
And	
Andiamo	
Answer BMX	
Apollo	
Aqua Sphere	
Aquamira	
Arai	
Argon 18	
Asama	
Asda	
Assos	
Atala	
Atomlab	
Author	
Avalon	
Avanti	
Aventón	
Avid	
Axiom	
Axle Release	
Azonic	
Azor	
Aztec	
Azzuri	
BCA	
BH Bikes (Beistegui Hermanos)	
BMC	
BOB	
BONT	
BOX	
BSD	
BULLITT	
Bacchetta	
Backpacker's Pantry	
Backward Circle	
Bahco	
Bailey	
Baladeo	
Bamboo Cycles	
Banjo Brothers	
Banshee bikes	
Bantam (Bantam Bicycle works)	
Bar Mitts	
Barracuda	
Basso	
Batavus	
Bazooka	
BeOne	
Beater Bikes	
Bell	
Bellwether	
Benotto	
Bergamont	
Bertucci	
Bianchi	
Bickerton	
Bicycle Research	
Big Agnes Inc	
Big Shot	
Bike Fit Systems	
Bike Friday	
Bike Mielec	
Bike Ribbon	
Bike-Aid	
Bike-Eye	
Bike-O-Vision	
Bike4Life	
BikeE recumbents	
Bikes Belong	
Bikeverywhere	
Bilenky Cycle Works	
Biomega	
BionX	
Birdy	
Biria	
Birmingham Small Arms Company	
Bishop	
Black Diamond	
Black Market	
Black Mountain Cycles	
Black Sheep Bikes	
Blue	
Boardman Bikes	
Bobbin	
BodyGlide	
Boeshield	
Bohemian Bicycles	
